Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Pegawai Negeri Sipil,Petani/ Pekebun,Karyawan Swasta,Buruh Harian Lepas,Buruh Tani/Perkebunan,Pedagang,Wiraswasta,cluster,Cluster,Principal Component 1,Principal Component 2,Cluster
Tlogolele,3309012001,Selo,2799,524,243,409,7,1361,30,86,21,22,50,0,1,-1.1038136902114166,0.16825855770793374,1
Klakah,3309012002,Selo,3132,656,170,413,2,1636,31,41,57,15,73,0,1,-1.1223788074018486,0.21095636821650188,1
Jrakah,3309012003,Selo,4582,803,238,642,3,2528,81,30,16,26,155,0,1,-1.1343365745413925,0.4598948511496704,1
Lencoh,3309012004,Selo,3460,607,186,550,5,1915,59,10,1,12,83,0,1,-1.1344086418393373,0.28729391916111385,1
Suroteleng,3309012005,Selo,1919,302,51,332,1,1001,45,7,8,8,126,0,1,-1.129913710145645,0.02848130345227448,1
Samiran,3309012006,Selo,4038,621,622,742,46,1317,194,50,2,47,298,0,1,-0.990437897276265,0.3756545551719968,1
Selo,3309012007,Selo,3122,473,110,539,3,1601,82,3,4,32,225,0,1,-1.1176100020568924,0.2317090465450659,1
Tarubatang,3309012008,Selo,2834,427,148,501,14,1484,110,18,10,10,78,0,1,-1.1234710975423836,0.18039330749247706,1
Senden,3309012009,Selo,2349,348,132,407,7,1190,88,3,4,16,113,0,1,-1.118458884358129,0.10355771024084509,1
Jeruk,3309012010,Selo,2931,447,105,514,12,1358,119,3,1,11,320,0,1,-1.1046645064219383,0.1906110475567679,1
Tanduk,3309022002,Ampel,6617,1238,782,1336,36,211,721,748,61,366,744,2,2,1.1897589749725397,0.1912604826417747,2
Banyuanyar,3309022003,Ampel,2714,432,181,511,18,704,484,58,34,18,158,0,1,-1.031185379571071,0.13179702159127388,1
Sidomulyo,3309022004,Ampel,4820,803,389,947,43,733,952,93,81,102,372,1,0,0.025709890325871454,0.1513265088912436,0
Ngargosari,3309022005,Ampel,3954,625,252,727,21,763,1046,119,94,21,165,0,1,-0.9494542747608231,0.2998935333776604,1
Selodoko,3309022006,Ampel,4001,719,410,642,16,709,714,363,52,26,218,1,0,-0.0397762108087778,-0.0006505859374191236,0
Ngenden,3309022007,Ampel,2348,419,424,444,12,113,362,162,105,24,131,1,0,-0.07704393226121997,-0.2680840225705423,0
Ngampon,3309022008,Ampel,1763,287,285,339,17,217,206,201,51,16,47,1,0,-0.13466534401798302,-0.3362132380047171,0
Gondang Slamet,3309022009,Ampel,1570,247,104,303,10,47,321,37,382,13,42,1,0,-0.14014713516315025,-0.4707550636906449,0
Candi,3309022010,Ampel,7877,1376,1185,1612,107,216,1272,661,88,88,848,2,2,1.218244863298749,0.2576516917157676,2
Urutsewu,3309022011,Ampel,6639,1135,823,1328,63,121,1014,571,51,150,915,2,2,1.1402698930770143,0.0921034548819844,2
Wonodoyo,3309032001,Cepogo,2663,511,204,380,1,482,148,17,832,1,43,1,0,-0.13268209809007048,-0.4551499227051958,0
Jombong,3309032002,Cepogo,2391,437,70,381,2,1030,254,12,27,15,117,0,1,-1.0980305120291234,0.09782015091195628,1
Gedangan,3309032003,Cepogo,4412,857,90,726,10,2009,263,20,18,36,287,0,1,-1.0841006150822274,0.42986425845696224,1
Sumbung,3309032004,Cepogo,4128,782,217,752,19,1203,592,75,101,28,214,0,1,-0.9980293262620195,0.3366083984606408,1
Paras,3309032005,Cepogo,1093,221,68,168,21,138,205,9,0,20,174,1,0,-0.17473770332475302,-0.40870855100635517,0
Jelok,3309032006,Cepogo,6582,1191,234,1152,40,1346,983,143,78,24,1201,0,1,-0.8584951755971238,0.6906738682456246,1
Bakulan,3309032007,Cepogo,1962,385,99,347,20,516,281,33,14,13,159,0,1,-1.0617199320624668,0.023072430076050948,1
Candigatak,3309032008,Cepogo,3409,737,297,561,16,590,419,65,21,16,544,1,0,-0.07353546586331028,-0.07192935876650208,0
Cabean Kunti,3309032009,Cepogo,4620,954,270,724,13,1091,699,122,50,37,479,0,1,-0.9481920147325669,0.4152337999010864,1
Mliwis,3309032010,Cepogo,7257,1492,480,1309,68,1173,1199,258,61,241,600,2,2,1.0703877341703685,0.2862855610494434,2
Sukabumi,3309032011,Cepogo,3803,774,711,674,23,334,207,17,52,18,869,1,0,0.003972854963095296,-0.021871099239239356,0
Genting,3309032012,Cepogo,2342,464,44,372,8,938,110,25,20,14,288,0,1,-1.0935665635227019,0.08582546144500608,1
Cepogo,3309032013,Cepogo,8524,1773,303,1571,36,1014,1604,138,15,255,800,2,2,1.131747989207381,0.4136897607703624,2
Kembang Kuning,3309032014,Cepogo,4878,1001,257,744,3,1260,958,121,91,26,266,0,1,-0.9525981879526758,0.44527819853856515,1
Gubug,3309032015,Cepogo,4484,863,376,788,10,768,566,383,44,179,267,1,0,0.019129388373371414,0.13425460343471668,0
Pagerjurang,3309042011,Musuk,1142,201,161,189,13,237,212,17,4,7,43,1,0,-0.18238363376321842,-0.4037959371127172,0
Sukorejo,3309042012,Musuk,5939,1143,225,983,35,1878,1025,54,30,21,389,0,1,-0.9603066413308244,0.6441412468842413,1
Sruni,3309042013,Musuk,3576,686,141,669,17,1020,386,18,10,27,489,0,1,-1.0144844758137217,0.2811843821431588,1
Cluntang,3309042014,Musuk,2607,454,67,427,3,1184,371,13,7,3,38,0,1,-1.1045800823748946,0.13743834666015453,1
Kembangsari,3309042015,Musuk,2939,488,59,451,25,1020,681,19,9,5,103,0,1,-1.0608203932260134,0.17970529241056182,1
Ringin Larik,3309042016,Musuk,3062,531,146,518,30,947,380,16,5,14,377,0,1,-1.0410817130941614,0.19820015669968383,1
Kebongulo,3309042017,Musuk,1713,312,160,314,8,304,257,19,28,32,197,1,0,-0.14871922921775615,-0.3176660854789515,0
Musuk,3309042018,Musuk,5533,995,424,994,57,1004,905,101,117,48,589,0,1,-0.8712301694278893,0.5274662264453138,1
Sukorame,3309042019,Musuk,3691,661,270,666,14,660,915,62,35,38,240,0,1,-0.9480512471993233,0.2880334885383978,1
Pusporenggo,3309042020,Musuk,3394,621,315,668,77,343,742,110,48,22,260,1,0,-0.03629463301245761,-0.07737164314098777,0
Pulisen,3309051001,Boyolali,11675,2036,1152,2542,587,46,2071,440,19,137,1096,2,2,1.4745689819826089,0.8207868161322207,2
Siswodipuran,3309051002,Boyolali,10606,1967,957,2154,435,34,1607,398,10,184,1659,2,2,1.4139175108148396,0.6903172593146183,2
Banaran,3309051004,Boyolali,8070,1462,732,1617,205,38,1288,419,11,203,1306,2,2,1.2483566120595613,0.33070214256965497,2
Karanggeneng,3309052003,Boyolali,11239,1878,1070,2298,402,139,1754,870,99,138,1655,2,2,1.4433865224981866,0.7327450189879261,2
Winong,3309052005,Boyolali,8067,1538,770,1336,153,825,1542,544,84,111,551,2,2,1.1352047439569979,0.2916014478449786,2
Penggung,3309052006,Boyolali,7601,1324,580,1392,65,874,1565,422,92,58,791,2,2,1.077121769668423,0.2082532712602862,2
Kiringan,3309052007,Boyolali,8643,1561,879,1639,152,121,1468,569,88,310,1065,2,2,1.3101134620023378,0.42802725213174336,2
Mudal,3309052008,Boyolali,6325,1051,690,1217,94,349,1182,390,156,128,494,2,2,1.0752092300868255,0.008631269895106819,2
Kebonbimo,3309052009,Boyolali,3280,535,331,612,51,317,689,250,41,23,258,1,0,-0.04242894842437206,-0.10771237478818219,0
Kemiri,3309061007,Mojosongo,7830,1974,807,1144,118,641,1629,411,134,126,480,2,2,1.167490988278722,0.29213761207865313,2
Mojosongo,3309061009,Mojosongo,6954,1309,617,1445,190,359,1720,157,56,100,487,2,2,1.1251081575480908,0.17633236825343174,2
Madu,3309062001,Mojosongo,1728,379,215,222,18,250,341,31,22,30,125,1,0,-0.13736517877643528,-0.31626266906980766,0
Singosari,3309062002,Mojosongo,4338,963,276,604,22,1002,938,70,41,72,209,0,1,-0.9373751054157307,0.405375095350832,1
Tambak,3309062003,Mojosongo,5246,1161,389,821,25,822,801,156,98,119,647,1,0,0.050487623808118665,0.22133748517695534,0
Manggis,3309062004,Mojosongo,6855,1540,429,1204,41,109,702,308,78,55,2153,2,2,1.1156100040852939,0.09303357394095596,2
Jurug,3309062005,Mojosongo,5115,1223,553,790,51,273,663,462,98,160,606,2,2,1.023968730235363,-0.10870013041424403,2
Karangnongko,3309062006,Mojosongo,3601,867,501,524,31,364,594,99,91,40,317,1,0,-0.014099055346541656,-0.056478630788859674,0
Butuh,3309062008,Mojosongo,2719,605,206,450,26,139,686,106,74,50,209,1,0,-0.05500953006011766,-0.18579122117036023,0
Kragilan,3309062010,Mojosongo,6269,1311,808,1065,91,204,1377,454,120,68,369,2,2,1.094265799875991,0.008247224493306449,2
Brajan,3309062011,Mojosongo,2112,470,250,321,9,135,545,60,146,13,80,1,0,-0.10106675836466272,-0.30752723108312,0
Metuk,3309062012,Mojosongo,5120,956,605,947,63,251,1029,332,173,57,450,1,0,0.1060315186711458,0.1310607858227359,0
Dlingo,3309062013,Mojosongo,4171,796,504,704,55,362,886,157,260,10,299,1,0,0.01607335578487068,-0.03808688787747,0
Kopen,3309072001,Teras,3853,690,463,805,35,29,662,155,264,104,439,1,0,0.053802130330603326,-0.06117944819816301,0
Doplang,3309072002,Teras,3772,621,292,770,30,92,870,547,79,37,268,1,0,0.0184397467906654,-0.062045434083028705,0
Kadireso,3309072003,Teras,3939,723,269,742,41,59,1181,328,197,61,211,1,0,0.045009880791324175,-0.04291465693807206,0
Nepen,3309072004,Teras,2602,430,177,526,26,62,534,157,54,67,421,1,0,-0.0519706859527318,-0.19724483530292436,0
Sudimoro,3309072005,Teras,3052,537,284,611,69,68,645,202,94,43,301,1,0,-0.023935564656286656,-0.1516501781044166,0
Bangsalan,3309072006,Teras,2626,492,151,476,20,99,537,213,136,32,345,1,0,-0.06700708477310813,-0.23784821471842332,0
Salakan,3309072007,Teras,4024,773,399,769,33,67,786,137,487,102,314,1,0,0.056354329234227896,-0.10274729611209588,0
Teras,3309072008,Teras,6686,1244,785,1272,88,51,1553,457,336,97,407,2,2,1.1439359224422658,0.009447485503749908,2
Randusari,3309072009,Teras,8769,1584,777,1777,140,334,2477,197,233,129,544,2,2,1.2589440119175606,0.388637840295805,2
Mojolegi,3309072010,Teras,3947,644,425,807,53,78,880,388,77,57,296,1,0,0.042188991029005196,-0.021250066297662906,0
Gumukrejo,3309072011,Teras,2712,518,287,469,24,27,720,252,134,39,69,1,0,-0.04291044329485261,-0.22380577066959517,0
Tawangsari,3309072012,Teras,3431,644,260,653,32,135,808,483,92,50,92,1,0,-0.007066120033090817,-0.10581595657777726,0
Krasak,3309072013,Teras,2791,453,258,549,26,343,734,69,90,28,120,1,0,-0.07716251220137882,-0.1771631194917121,0
Kateguhan,3309082001,Sawit,3433,568,415,681,37,42,734,246,174,131,192,1,0,0.0323727972743626,-0.0876155394921862,0
Manjung,3309082002,Sawit,2430,360,362,480,34,31,600,232,126,39,77,1,0,-0.05380825697964631,-0.25054823399513704,0
Gombang,3309082003,Sawit,2404,377,286,445,23,27,478,181,52,63,319,1,0,-0.05714810764873035,-0.23191976609659914,0
Tegalrejo,3309082004,Sawit,3098,530,339,592,30,22,606,480,78,79,214,1,0,-0.0018610121148410208,-0.13770658778102712,0
Tlawong,3309082005,Sawit,2491,418,231,439,24,93,537,166,193,89,163,1,0,-0.055680380586602185,-0.24757785034625274,0
Jenengan,3309082006,Sawit,2974,499,209,569,36,46,722,343,109,58,295,1,0,-0.02214477700063866,-0.16397461294753013,0
Cepokosawit,3309082007,Sawit,2002,296,235,392,26,40,466,75,133,76,140,1,0,-0.08231052271427819,-0.29938835961282884,0
Kemasan,3309082008,Sawit,3058,473,399,600,34,25,567,104,132,39,554,1,0,-0.014639415724672311,-0.16316377158976142,0
Jatirejo,3309082009,Sawit,2778,441,319,519,29,58,662,188,128,99,159,1,0,-0.024553005208938883,-0.1817632727630159,0
Bendosari,3309082010,Sawit,2613,375,348,518,44,22,589,243,117,24,148,1,0,-0.05157179223900221,-0.241151120606849,0
Karangduren,3309082011,Sawit,2821,417,322,584,56,12,566,238,86,27,339,1,0,-0.035904524771749324,-0.19663591434397026,0
Guwokajen,3309082012,Sawit,2979,457,279,573,38,30,702,356,231,39,149,1,0,-0.026627718192237415,-0.21757443305535257,0
Dukuh,3309092001,Banyudono,3856,770,293,696,68,36,747,564,70,70,317,1,0,0.039093907147186524,-0.03618074207670957,0
Jipangan,3309092002,Banyudono,2784,514,220,448,45,70,653,335,128,33,197,1,0,-0.04749854561934219,-0.21656094521844238,0
Jembungan,3309092003,Banyudono,4255,665,330,819,66,65,948,497,126,86,395,1,0,0.06502918845681549,0.008573014815769497,0
Sambon,3309092004,Banyudono,4085,764,305,778,61,63,1143,375,53,53,266,1,0,0.05152763676311145,0.011657621001184115,0
Kuwiran,3309092005,Banyudono,3803,617,438,767,84,31,847,325,54,52,347,1,0,0.0403241182241576,-0.0314110787585381,0
Cangkringan,3309092006,Banyudono,2353,431,239,449,33,46,665,131,45,39,109,1,0,-0.06818694529385838,-0.23762168704262115,0
Ngaru Aru,3309092007,Banyudono,4193,681,447,870,108,47,934,303,35,36,408,1,0,0.05743794078090181,0.02165850312738199,0
Bendan,3309092008,Banyudono,5222,911,330,1065,92,33,1067,272,17,226,938,2,2,1.072429395049639,-0.032261597644275886,2
Ketaon,3309092009,Banyudono,4359,782,409,801,92,66,1059,296,92,82,424,1,0,0.08050963732812622,0.054276993700951126,0
Banyudono,3309092010,Banyudono,4052,717,356,761,62,20,1080,489,26,69,289,1,0,0.0632994389131698,0.01839915949281795,0
Batan,3309092011,Banyudono,2934,552,308,507,41,18,805,188,32,28,328,1,0,-0.023082136552797783,-0.1522909104266627,0
Denggungan,3309092012,Banyudono,4090,792,432,762,27,37,884,273,133,91,504,1,0,0.06993437691225468,0.009201955724824906,0
Bangak,3309092013,Banyudono,3333,663,390,614,38,53,724,363,49,49,253,1,0,0.006907013768194803,-0.09495660212881213,0
Trayu,3309092014,Banyudono,2682,501,244,481,37,60,653,184,153,49,203,1,0,-0.04536351276390005,-0.21844545790799808,0
Tanjungsari,3309092015,Banyudono,2263,349,256,437,53,38,460,284,123,24,93,1,0,-0.07936366302561493,-0.2921418143022154,0
Canden,3309102001,Sambi,5727,1182,428,1060,28,136,1355,549,250,126,462,2,2,1.0714897928336484,-0.07708628622339336,2
Senting,3309102002,Sambi,3286,666,510,673,27,148,612,153,110,78,196,1,0,0.00694731933676529,-0.0863163489989835,0
Tempursari,3309102003,Sambi,3589,695,238,684,50,70,918,207,363,64,154,1,0,0.014428213160588843,-0.1432521751920604,0
Jatisari,3309102004,Sambi,2531,503,248,480,35,98,664,177,183,16,44,1,0,-0.06662101481667526,-0.2558650617003317,0
Glintang,3309102005,Sambi,2724,507,266,492,20,134,727,116,260,24,89,1,0,-0.05810699120602014,-0.25007342786641557,0
Catur,3309102006,Sambi,2084,353,176,395,49,301,462,67,53,25,57,1,0,-0.1247276628664804,-0.2753289062537566,0
Tawengan,3309102007,Sambi,2307,441,223,439,40,151,489,258,99,8,51,1,0,-0.09341103343546875,-0.27397836049707747,0
Sambi,3309102008,Sambi,5014,942,408,1048,71,160,1033,392,169,86,437,1,0,0.10907517475655526,0.1279533260579228,0
Demangan,3309102009,Sambi,3123,569,282,622,21,328,577,84,150,73,245,1,0,-0.04574709387448039,-0.13517720455161908,0
Kepoh,3309102010,Sambi,2679,530,342,481,12,86,577,386,55,29,75,1,0,-0.049339124049101235,-0.20537112867346496,0
Jagoan,3309102011,Sambi,4134,725,203,760,26,352,1155,325,406,20,60,1,0,0.0014697802581713493,-0.09642226784988467,0
Babadan,3309102012,Sambi,3160,581,390,599,60,269,621,199,89,44,153,1,0,-0.03347259044149742,-0.12094647070491443,0
Ngaglik,3309102013,Sambi,2072,424,201,346,10,332,482,31,112,21,33,1,0,-0.1280779968035548,-0.29165517515281536,0
Trosobo,3309102014,Sambi,2485,462,149,461,32,326,578,181,118,10,73,1,0,-0.10609659304512453,-0.2450684308976142,0
Cermo,3309102015,Sambi,2340,458,268,401,17,225,418,158,258,12,53,1,0,-0.10023746405317802,-0.31339735897601095,0
Nglembu,3309102016,Sambi,2180,361,220,427,71,253,448,38,83,11,133,1,0,-0.11301431558846997,-0.2724407147777935,0
Ngargorejo,3309112001,Ngemplak,3794,735,342,669,26,44,849,314,160,237,211,1,0,0.08387812756054824,0.015653978523061107,0
Sobokerto,3309112002,Ngemplak,7583,1725,773,1330,50,125,1116,895,153,106,1038,2,2,1.1973084495880812,0.1892761617624274,2
Ngesrep,3309112003,Ngemplak,7041,1273,1018,1466,131,37,1252,530,34,119,590,2,2,1.1811822111102959,0.15430220257312838,2
Gagaksipat,3309112004,Ngemplak,10181,2065,1260,1902,165,20,2492,731,25,233,644,2,2,1.4465041899092663,0.6818363606818882,2
Donohudan,3309112005,Ngemplak,7982,1602,543,1609,136,37,1759,488,24,95,1332,2,2,1.229455877810188,0.3124004361707648,2
Sawahan,3309112006,Ngemplak,11904,2545,1554,2444,161,38,2427,1031,31,121,927,2,2,1.5401365473756903,0.8878064464254567,2
Pandeyan,3309112007,Ngemplak,8751,1750,734,1679,121,40,2499,761,13,172,436,2,2,1.309057040831923,0.4429085274389572,2
Kismoyoso,3309112008,Ngemplak,9831,2068,531,1945,58,62,2631,1930,29,57,238,2,2,1.3416275090467515,0.5087644695980877,2
Dibal,3309112009,Ngemplak,7133,1359,927,1410,85,55,1038,1190,53,261,331,2,2,1.223418072561804,0.20302207558222135,2
